"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT5G45340",6.73399723635514,10.533306195488,6.67037272400094,10.3704066868435
"AT2G15620",7.32499815803369,12.6048710167497,7.35284489150351,12.2256671336945
"AT5G40850",8.35797203788365,11.5657127244761,8.44790407478111,10.9946728578583
"AT1G78050",6.73414982043226,11.1294747095373,6.83745749143367,10.2930366636338
"AT1G24280",6.87361442092869,11.3222363600142,6.88926336668347,10.5439560125106
"AT1G30510",9.75968342857246,12.3819690490827,9.79291654772337,11.8396979206758
"AT4G09620",6.42425476205831,8.60218415081015,6.68759713544163,8.19274557829401
"AT1G70410",10.323862256609,12.1598344793327,10.3489537433168,11.7508391425307
"AT1G49500",7.45247530089592,10.9801246881027,7.66361663935551,10.152781402817
"AT5G67420",7.60966510621221,11.2619649010408,7.60941515871959,10.9090666397119
"AT3G47980",4.45024662227221,7.4252685528952,4.57321820540202,7.14793197145133
"AT1G37130",7.90462184025701,10.9857894351929,7.87676839191564,10.4361695693651
"AT1G12110",9.93710209192438,11.8227708256811,4.56580110508016,5.98449064928311
"AT4G05390",9.11108129736616,11.526263460317,9.09695356991273,10.5556114551858
"AT5G10030",6.62324139853571,8.59048674213888,6.73239698389013,8.00021272188782
"AT2G26980",6.97136573249975,9.6525140983435,7.00045135145832,8.60234589759538
"AT5G13110",8.6630616189939,11.3175232252252,8.58997633670822,10.611623764833
"AT5G41670",9.76517046915429,11.9787420049073,9.7476665799939,11.395076392355
"AT5G19970",6.8574322324156,9.69547689029536,7.19564408013406,8.26298189300857
"AT4G32950",6.00483867815788,10.5579701177149,6.52281320741483,10.6349090879681
"AT1G08090",8.095605055788,11.7403764017064,8.31395573571918,11.1644872130679
"AT4G31910",8.81674625152589,11.0415167792453,8.85669072689869,10.9104689260495
"AT2G48080",5.61028069655842,10.6833317543305,5.8664326433368,9.48173785137498
"AT2G17230",7.36026982612243,8.99134337462474,7.24768230399248,9.00344075222723
"AT1G63940",9.55617217824775,11.461178330559,9.48509784024485,10.6752313467942
"AT1G16340",7.27675539458957,7.06279047333701,4.54342894960122,4.37109148344939
"AT1G64190",10.7303274515668,12.5973348673675,10.6674168708362,12.0766311317295
"AT4G36010",7.02267208599506,10.5925948544622,7.06564479020981,10.1369006939896
"AT1G15550",7.41646652754415,9.04655317658545,7.37409622658223,8.75810132570415
"AT5G65210",9.32665913333964,10.9584782916815,9.42166955404779,10.7255125857395
"AT1G12090",10.5945762248427,10.3354018286132,5.12251548009017,4.96643815225613
"AT3G52360",9.76859995287147,11.468228659617,10.0027862096167,11.1570673377218
"AT5G62720",4.94474416821509,6.88401278464005,4.74899215252885,6.22282457974143
"AT3G49940",9.93609720438841,11.7106589653963,10.0612886826914,11.591971859361
"AT5G01740",5.97122882677863,9.33510270287885,5.92091886052478,7.26894229303649
"AT1G67910",4.6204475581387,6.86534220425769,4.55840768671352,6.1493480053969
"AT4G02380",10.0204167239098,12.6165742842027,10.2245698168918,12.0506757665338
"AT1G21590",7.96572314797938,6.36502211395249,7.91976587116446,6.51571811085297
"AT5G50200",10.9498351177194,12.5024302238575,11.1462484297444,12.0248069228309
"AT4G30470",7.39680877418933,9.37975912627976,7.49898407535936,9.18547954143958
"AT3G45970",8.95904541221157,11.3998622974327,8.72321270779391,11.3883130648298
"AT1G61100",7.61049183520444,8.96718659310701,7.45833397707457,8.87343394082008
"AT3G27960",8.75919332497946,9.80605946768022,8.6692296685512,9.68359823402108
"AT5G02260",9.34114212568827,7.77187897345165,9.30979700620651,7.89437615908
"AT3G13730",6.44027018611801,8.51355528617494,6.26901073016415,8.14814868162695
"AT3G30720",5.06104959746607,4.78308364599541,6.82279905511568,6.51071068913781
"AT1G61840",4.79409736181193,7.22755117693878,4.69649770897159,7.26037117885684
"AT5G12860",9.33164048868898,11.048126236926,9.28843283643404,10.5437657310187
"AT4G25835",4.47882168863732,7.20665871866759,4.71210910825674,6.47141298704102
"AT3G60750",10.6063448202146,12.2168810271773,10.5676332039751,11.5952188748652
"AT1G16170",6.45887443119107,9.02491499627417,6.50661732272187,8.51916368547458
"AT4G25620",6.80897263452287,8.67970974170038,6.80745768775832,8.29841165694225
"AT3G63110",7.09350152244638,9.24352139757513,6.73235186340377,8.64847545703437
"AT1G77760",4.99653426033013,9.42529903512523,4.89885991499065,8.35506286475881
"AT5G59490",7.25664447456832,9.09982673919014,7.25510233180097,8.94574226585602
"AT5G10210",4.78806098044005,10.0632132728328,4.98625104175769,9.32837406328333
"AT2G30040",6.68514201283677,9.56092590010391,6.68404810275723,8.80570322364695
"AT5G58700",8.67989743903555,10.1618807138499,8.63684578635835,9.69035844025502
"AT5G52020",5.46746874076632,7.20528459692351,5.78452377274859,6.77413222362365
"AT1G66140",7.34050299828378,9.00288778045038,7.4110942564689,8.87116110567578
"AT2G27510",11.0969054213691,12.3629595655404,11.1262199261982,12.0737468390046
"AT1G16390",6.67573725652373,7.74015857806501,6.54988969766056,7.77551910554614
"AT1G49160",6.64730518772957,9.4548319692877,6.64142847523987,8.85996949815055
"AT1G66470",6.2544432804061,7.35244055839643,6.21177153068539,7.45692314910209
"AT5G07890",7.18843185612693,8.57609932498966,7.34274125250333,8.29958885613605
"AT4G16563",6.90369374408,7.95211228453627,6.70992823304118,7.75698680641606
"AT4G31550",9.03037492264464,10.1668586958096,8.9933245113152,10.2971625120953
"AT2G34770",8.08452813174749,8.89430132216512,7.99973660957263,9.06610620655681
"AT1G32170",9.49376742436756,10.7054456197016,9.49677917778224,10.9025769738344
"AT5G58690",7.32299903540332,8.61015883111505,7.38085020237746,8.27469901405878
"AT2G47560",6.44668353747369,7.91755520772188,6.36754604004521,7.5928952604051
"AT5G67390",6.72467556244405,8.49856432202998,6.82790443829519,8.33399059127615
"AT1G74660",8.42460089150937,9.98325913299395,8.59692038030735,9.61275057409102
"AT1G68670",7.34853624300981,9.42164389574889,7.44304507254823,9.07962774340217
"AT1G17060",7.15998505844983,9.08453808050649,7.03009551185191,8.88581677866229
"AT5G54130",6.09923907193432,8.07134003972129,6.04489947711786,7.5866105640898
"AT1G66440",7.72942702736122,9.12017234276929,7.82946452020197,8.89721527128602
"AT1G61590",9.4822691019155,8.49038045150073,9.50834688185984,8.48963569033272
"AT3G60320",8.48673568452072,9.1441298311767,8.44843582204227,9.0469384881391
"AT4G38340",4.66713651842594,6.63506224923589,4.90955608940167,5.85560960201016
"AT1G57560",7.21659301503246,5.92125067965779,7.06959886706538,6.04118379449119
"AT3G50280",7.69881800816613,6.63441776222902,7.85951716667678,6.77429242656995
"AT2G39710",6.77894516081442,7.48458155967232,6.81371314089517,7.74688397888135
"AT1G75310",6.49790207967273,7.3712791424891,6.48935832222492,7.36459486423736
"AT1G72220",6.53116794184641,8.19625179696754,6.53623016937593,6.82027246379828
"AT4G00940",5.86561418443212,7.31129800998387,5.88105132897788,7.07143730493499
"AT1G05300",8.78712387143607,7.70280021480669,8.84333653815352,7.83026662689126
"AT3G15650",7.00349150086139,8.47112275301994,6.89331497617882,7.99762457196906
"AT1G13300",5.86539521448208,10.7641507495441,5.99762079128498,9.33045189930264
"AT1G67920",6.6551624189701,8.13819394260187,6.83186012792093,7.46699329042243
"AT2G24400",5.33522665158481,3.83076855788986,5.20593151978386,3.62693120422447
